@relation guacamole-client_Single_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean,buggy}

@data
2,0.003344,0.003344,0,6,237,12,4,9,218,1,2,2,0.5,53,53,299,0,buggy
121,0.40293,0.040293,8,3,555,8,3,19,204,1,3,2,0.5,155,98.5,273,137.996271,clean
68,0.097004,0,5,6,144,14,2,11,81,2,3,4,0.75,19,19,701,38.811817,clean
13,0.094203,0,1,1,211,4,3,18,15,3,10,20,0.2,45,45,138,0.736966,clean
2,0,0.016393,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,122,0,clean
2,0,0.039216,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,51,0,clean
2,0,0.029851,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,67,0,clean
230,0.089636,0.554622,3,13,708,22,5,11,89,4,31,87,0.126437,1,1,357,13.679686,clean
2,0,0.020408,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,98,0,clean
2,0,0.025316,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,79,0,clean
22,0.05914,0.05914,2,6,187,8,1,22,0,1,1,1,1,180,125.5,186,20.504362,buggy
7,0.028777,0.021583,3,2,469,4,3,11,0,1,1,1,1,10,10,139,7.113742,buggy
2,0,0.019048,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,105,0,clean
2,0,0.014706,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,136,0,clean
17,0.288136,0,1,0,469,6,3,12,349,1,1,1,1,144,87.5,59,44.191355,clean
8,0.009804,0.068627,2,0,0,3,2,15,0,2,2,8,0.125,234,179.5,102,0.800362,clean
2,0,0.015385,0,7,52,12,3,10,0,5,70,390,0.005128,11,11,130,0,clean
89,0.010204,0.443878,3,0,311,5,3,10,0,1,3,6,0.166667,93,48.5,196,38.566103,clean
2,0,0.004425,0,0,55,5,2,23,53,5,70,390,0.035897,13,13,452,0,clean
3,0,0.02521,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,119,0,clean
1,0,0.013699,0,4,241,5,1,12,32,1,1,2,1,78,78,73,0.152003,buggy
121,0.40293,0.040293,8,3,556,10,3,19,0,2,4,3,0.333333,221,166.5,273,137.996271,clean
2,0,0.010101,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,198,0,clean
3,0.013793,0.006897,0,2,583,6,3,0,346,3,13,20,0.5,186,129.5,145,13.679686,buggy
4,0.013793,0.013793,0,1,583,3,2,0,582,3,13,20,0.5,186,129.5,145,13.679686,buggy
2,0.002469,0.002469,0,2,49,5,2,9,0,1,1,1,1,14,14,405,0,buggy
30,0.056738,0.014184,5,0,0,1,1,20,0,2,9,12,0.083333,2,2,423,0,clean
2,0,0.04,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,50,0,clean
7,0.030075,0.022556,0,0,56,2,1,18,56,1,1,1,1,97,49,133,0,clean
56,0.335329,0,0,1,2,2,1,22,2,1,1,2,1,39,39,167,117.149289,buggy
2,0,0.013333,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,150,0,clean
5,0.026455,0,0,1,60,3,2,12,60,3,12,13,0.153846,22,22,189,34.955041,buggy
26,0.333333,0,1,1,6,3,2,20,0,2,8,19,0.368421,25,13,78,5.775051,clean
8,0.002809,0.019663,1,11,584,19,4,0,0,1,1,1,1,189,132.5,356,0,buggy
10,0.103448,0.011494,1,0,708,6,4,11,127,4,31,87,0.126437,1,1,87,13.679686,clean
8,0.009804,0.068627,2,0,0,1,1,20,0,2,2,8,0.25,185,128.5,102,0.800362,clean
18,0.028708,0.014354,5,5,585,13,4,8,2,3,16,29,0.137931,235,180.5,418,13.679686,clean
5,0.021097,0,0,1,209,6,3,15,118,3,12,17,0.176471,43,43,237,11.95456,clean
2,0.011561,0,1,0,0,1,1,20,0,2,9,12,0.083333,2,2,173,0,clean
2,0.002469,0.002469,0,2,49,7,2,11,0,1,1,1,1,12,12,405,0,clean
2,0,0.021277,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,94,0,clean
7,0.028689,0,0,1,754,3,3,21,754,2,2,2,1,257,116.33333,244,0,buggy
2,0.001832,0.001832,0,11,593,29,4,13,0,1,1,2,1,152,95.5,546,15.295919,clean
7,0.02551,0.010204,1,1,415,5,3,14,77,1,6,6,0.5,134,77.5,196,33.99899,buggy
46,0.092814,0.04491,7,17,800,30,4,16,8,1,2,4,0.75,248,109.33333,334,0,buggy
2,0,0.041667,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,48,0,clean
38,0.083333,0.018817,6,4,4,7,1,16,1,1,1,3,1,43,43,372,5.769838,buggy
12,0.059113,0,1,4,195,7,2,18,0,3,8,10,0.4,60,60,203,0,buggy
15,0.109375,0.125,1,0,0,1,1,12,0,1,1,1,1,49,49,64,2.447459,clean
10,0.120482,0,0,0,0,3,2,15,0,2,2,8,0.125,234,179.5,83,0.800362,clean
2,0.007519,0.007519,0,0,0,1,1,9,0,1,1,1,1,96,96,133,0,clean
3,0,0.004658,0,0,55,6,2,10,0,5,70,390,0.005128,11,11,644,0,clean
2,0,0.013245,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,151,0,clean
2,0.011173,0,0,2,212,3,1,22,143,1,3,7,0.857143,161,106.5,179,0,clean
37,0.055762,0.081784,1,14,217,16,1,19,3,1,1,1,1,193,138.5,269,30.088561,buggy
22,0,0.34375,1,1,403,4,2,19,1,1,5,18,0.222222,166,109.5,64,0,buggy
3,0.011494,0,0,0,243,3,2,11,243,1,6,13,0.153846,99,Infinity,261,0,clean
118,0.286792,0.158491,2,5,18,11,4,11,218,1,3,3,0.666667,31,31,265,1.222392,buggy
33,0.123077,0.003846,3,0,195,3,2,18,195,1,2,2,0.5,82,82,260,149.890304,clean
36,0.122995,0.069519,4,10,666,24,3,12,106,2,5,5,0.8,274,Infinity,187,65.65989,buggy
10,0.004425,0.039823,0,5,519,11,3,23,16,3,4,5,0.8,147,90.5,226,1,clean
11,0.012903,0.022581,2,13,361,23,2,10,17,1,1,3,0.666667,120,69,310,31.421913,clean
2,0,0.038462,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,52,0,clean
2,0,0.037736,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,53,0,clean
5,0.045455,0,0,1,234,7,4,15,118,3,12,17,0.176471,43,43,110,11.95456,clean
1,0,0.011111,0,2,0,4,1,13,0,1,1,1,1,16,16,90,0,clean
11,0,0.094017,1,6,585,18,4,8,1,3,16,29,0.137931,235,180.5,117,13.679686,clean
4,0.027027,0.081081,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,37,0,clean
5,0.021552,0,0,1,209,6,3,15,118,3,12,17,0.176471,43,43,232,11.95456,clean
18,0.049724,0,0,11,518,26,5,9,0,1,2,3,0.333333,149,92.5,362,0,clean
83,0.557047,0,1,0,0,1,1,10,0,1,5,8,0.375,3,3,149,119.814905,clean
2,0,0.030303,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,66,0,clean
2,0,0.019802,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,101,0,clean
2,0.012048,0.012048,0,0,0,1,1,14,0,1,2,3,0.333333,8,8,83,0,clean
31,0.036559,0.030108,0,1,152,7,2,20,2,1,2,4,0.5,22,22,465,14.444885,clean
33,0.123077,0.003846,3,0,311,4,3,10,115,1,3,6,0.5,92,47.5,260,38.566103,clean
25,0.313725,0.176471,1,2,220,7,3,9,0,2,6,14,0.357143,69,69,51,171.362518,clean
4,0.017094,0.017094,0,4,294,8,4,11,123,4,31,87,0.126437,1,1,117,13.679686,clean
36,0.253521,0,1,0,0,1,1,10,0,1,5,8,0.375,3,3,142,119.814905,clean
2,0,0.027778,0,0,0,1,1,23,0,5,70,390,0.035897,13,13,72,0,clean
2,0,0.010204,0,0,53,3,2,23,53,5,70,390,0.035897,13,13,196,0,clean
27,0.032051,0.054487,0,8,92,11,3,21,0,1,1,1,1,22,22,312,10.372535,buggy
1,0,0.004673,0,4,845,11,4,19,0,2,5,7,0.142857,235,113.16667,214,106.326245,clean
33,0.100304,0,1,4,107,15,3,21,9,1,2,4,0.75,37,37,329,-0,clean
23,0.008547,0.188034,1,1,338,5,3,13,94,3,12,25,0.16,116,65,117,0,clean
33,0.122642,0.188679,3,4,761,4,2,15,573,1,6,6,0.666667,246,107.33333,106,0,buggy
2,0.016667,0,1,2,242,8,3,18,5,3,11,12,0.333333,95,95,120,677.950763,clean
