@relation incubator-dolphinscheduler_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
57,0.173913,0.016722,8,2,1,6,5,20,0,4,13,25,0.16,8,8,299,clean
18,0.086538,0.086538,3,2,22,4,3,14,20,5,13,33,0.212121,2,2,104,buggy
17,0.025341,0.007797,3,3,34,12,6,11,0,1,2,2,0.5,47,47,513,clean
8,0.028926,0.004132,0,8,13,34,10,17,0,3,4,4,0.25,28,28,242,clean
20,0.134228,0,1,0,6,11,6,16,0,2,3,3,0.333333,6,6,149,clean
10,0.023622,0.015748,3,1,1,5,3,18,0,3,4,5,0.2,5,5,254,clean
5,0.133333,0.033333,0,2,3,6,4,11,1,4,11,12,0.166667,4,4,30,clean
33,0.057534,0.032877,2,1,2,3,3,11,0,4,11,27,0.074074,25,25,365,clean
99,0.213368,0.041131,15,4,43,27,10,14,0,5,13,33,0.212121,2,2,389,buggy
2,0.009569,0,1,0,3,2,2,16,3,3,5,17,0.294118,11,11,209,clean
2,0.003436,0,1,0,1,2,2,10,1,4,11,26,0.384615,4,4,582,clean
2,0.003436,0,1,0,1,3,3,11,0,4,11,27,0.074074,25,25,582,clean
15,0.043478,0,2,1,3,7,5,15,0,4,22,61,0.065574,1,1,345,clean
20,0.010276,0.002569,4,4,9,20,10,17,0,3,6,7,0.285714,6,6,1557,clean
3,0.008065,0.004032,1,7,56,35,13,14,14,5,13,33,0.212121,2,2,248,buggy
7,0.010256,0.001709,0,4,51,28,12,19,13,2,5,8,0.5,11,11,585,buggy
62,0.471074,0.041322,4,1,0,1,1,16,0,1,1,2,0.5,3,3,121,buggy
4,0.003396,0.003396,0,2,44,10,6,18,0,2,4,4,1,42,42,589,clean
53,0.024953,0.00811,3,8,42,49,11,14,0,3,4,4,1,12,12,1603,clean
16,0.03211,0.004587,3,3,50,23,10,10,0,4,4,5,0.2,76,76,436,clean
3,0.006993,0,1,1,0,2,2,14,0,2,2,3,0.333333,1,1,429,clean
41,0.06136,0.006633,5,2,16,15,8,16,2,3,8,7,0.428571,52,52,603,clean
12,0.008485,0.006061,0,0,0,2,2,13,0,1,1,1,1,8,8,825,clean
4,0.00627,0.00627,0,1,16,5,3,15,1,4,9,11,0.272727,12,12,319,clean
25,0.170068,0,2,0,6,8,7,16,1,3,8,7,0.428571,52,52,147,clean
2,0.005682,0,1,1,22,7,5,13,4,5,18,52,0.192308,1,1,352,clean
74,0.029202,0.018819,2,2,8,14,9,18,0,3,4,5,0.8,2,2,1541,clean
7,0,0.09589,0,1,0,1,1,17,0,2,4,4,0.75,5,5,73,buggy
27,0.156977,0,2,0,6,10,8,17,0,4,22,61,0.016393,7,7,172,clean
6,0.014184,0,0,3,46,25,10,15,8,1,1,1,1,57,57,423,clean
2,0.003195,0.003195,0,0,2,3,2,16,2,4,15,22,0.227273,10,10,313,clean
155,0.245478,0.155039,8,2,11,9,4,10,0,2,2,2,0.5,16,16,387,clean
16,0.03211,0.004587,3,3,49,20,10,10,2,1,1,2,0.5,41,41,436,buggy
2,0.003521,0.003521,0,6,28,32,10,9,0,4,9,11,0.090909,2,2,284,clean
31,0.203947,0,1,0,0,1,1,15,0,1,1,1,1,12,12,152,clean
8,0.023952,0,1,2,2,5,3,21,0,3,7,6,0.166667,4,4,334,clean
5,0.020161,0,4,1,0,3,2,20,0,4,7,14,0.285714,5,5,248,clean
2,0.007326,0,0,3,26,20,8,18,0,1,1,8,0.125,29,29,273,clean
2,0.001264,0.001264,0,2,32,26,10,19,0,2,2,3,0.333333,41,41,791,clean
2,0.005495,0.005495,0,1,6,4,4,14,6,4,12,27,0.444444,66,66,182,clean
7,0.005168,0.01292,1,3,13,15,8,14,0,3,5,8,0.375,41,41,387,clean
4,0.022989,0,3,1,1,3,3,11,0,4,11,27,0.074074,25,25,174,clean
2,0.003472,0.003472,0,1,1,7,6,14,1,1,1,1,1,25,25,288,clean
2,0.013889,0,1,1,20,6,2,16,3,3,5,17,0.294118,11,11,144,clean
45,0.435644,0.009901,3,1,2,2,1,10,2,1,2,2,1,22,22,101,buggy
44,0.23494,0.03012,6,3,39,14,10,14,4,5,13,33,0.212121,2,2,166,buggy
24,0.046875,0.046875,2,0,14,8,5,23,0,4,26,69,0.043478,9,9,256,clean
1,0.003448,0,0,0,6,8,5,15,0,1,1,1,1,10,10,290,clean
4,0.00627,0.00627,0,1,14,4,3,20,6,4,9,11,0.454545,10,10,319,buggy
12,0.008485,0.006061,0,0,7,3,3,11,6,2,2,2,1,10,10,825,clean
2,0.006472,0,0,0,9,9,7,15,0,2,2,2,1,38,38,309,clean
2,0.006472,0,0,2,37,8,5,15,19,3,5,5,0.6,1,1,309,clean
2,0.003367,0.003367,0,0,0,2,1,16,0,2,2,2,0.5,43,43,297,clean
22,0.205882,0.009804,2,0,0,2,2,18,0,1,1,1,1,6,6,102,clean
133,0.248677,0.103175,12,5,51,23,10,14,0,5,13,33,0.212121,2,2,378,buggy
4,0.006873,0,1,1,6,12,6,17,0,4,22,61,0.016393,7,7,582,clean
175,0.803828,0.033493,2,1,0,1,1,16,0,2,6,12,0.25,17,17,209,buggy
5,0.023923,0,0,1,16,4,4,18,13,1,2,20,0.3,15,15,209,buggy
31,0.169399,0,0,2,37,18,9,16,0,5,23,67,0.059701,4,4,183,clean
19,0.030242,0.008065,0,1,2,6,5,15,0,1,2,2,0.5,26,26,496,clean
9,0.073171,0.036585,2,1,1,5,4,17,0,4,7,11,0.181818,18,18,82,clean
26,0.080986,0.010563,2,4,23,25,8,16,0,3,5,11,0.454545,61,61,284,clean
