@relation camel_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
49,0.065375,0.053269,0,12,255,14,1,22,0,3,4,2,0.5,720,720,413,104.660119,clean
2,0.006897,0.006897,0,6,136,8,4,21,26,3,113,142,0.521127,34,30,145,0,buggy
2,0.007813,0.007813,0,9,791,15,5,21,24,7,1736,7872,0.132495,145,57.666668,128,0,clean
6,0.055556,0.055556,0,0,0,2,1,9,0,1,1,6,0.333333,477,477,54,0,clean
3,0.014815,0.007407,1,2,263,7,5,6,5,1,3,3,0.666667,891,660,135,0,clean
5,0.011407,0.007605,0,3,250,7,5,17,114,2,5,15,0.333333,717,717,263,39.296567,clean
4,0.006309,0.006309,1,1,0,1,1,23,0,4,38,54,0.425926,32,23,317,41.021793,buggy
74,0.276596,0.510638,1,2,219,3,2,17,8,5,40,130,0.061538,93,93,94,0,clean
2,0.003289,0,1,7,624,13,7,10,100,2,337,351,0.150997,103,55,608,0,buggy
5,0.043478,0.065217,0,1,0,1,1,10,0,6,277,499,0.330661,26,26,46,0,buggy
2,0.010101,0.010101,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,99,0,clean
2,0.021277,0.021277,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,47,0,clean
2,0.003021,0.003021,0,3,143,3,3,9,3,1,18,42,0.428571,31,27,331,0.192645,buggy
2,0.002137,0.002137,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,468,0,clean
2,0.007692,0.007692,0,3,145,3,2,10,131,7,817,2007,0.159442,43,43,130,0,buggy
3,0.005525,0.01105,0,4,42,7,3,15,0,1,1,1,1,163,114.5,181,0,clean
0,0,0,0,1,0,1,1,19,0,2,9,59,0.033898,1,1,226,0,buggy
2,0.025,0.025,0,1,166,2,2,21,166,7,1736,7872,0.132495,145,57.666668,40,0,clean
3,0,0.1,0,0,0,1,1,17,0,4,226,1066,0.124765,42,42,30,0,clean
2,0.032258,0.032258,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,31,0,clean
2,0.005263,0.005263,0,7,766,11,6,8,0,3,132,162,0.049383,157,108.5,190,558.296978,clean
2,0.00625,0.00625,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,160,0,clean
12,0.1,0.1,1,0,0,1,1,15,0,2,2,4,0.5,117,117,60,-0,clean
5,0.017647,0.011765,0,2,49,2,1,11,49,2,12,16,0.375,90,90,170,0,buggy
2,0.001256,0.001256,0,2,42,3,3,21,10,7,1736,7872,0.132495,145,57.666668,796,0,clean
21,0.253968,0.079365,1,1,0,1,1,10,0,2,3,3,0.333333,5,5,63,29.016119,buggy
4,0.007092,0.007092,0,3,488,5,3,10,1,7,817,2007,0.159442,43,43,282,0,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,332,-0,buggy
6,0.065574,0.032787,2,1,0,1,1,19,0,1,5,9,0.444444,51,51,61,0.007949,buggy
2,0.013699,0.013699,0,0,383,2,2,22,383,2,23,28,0.571429,23,19,73,9.394366,clean
8,0.025316,0.075949,2,1,583,3,2,17,578,2,178,337,0.338279,39,39,79,48.555574,buggy
2,0.007813,0.007813,0,8,767,13,5,21,166,7,1736,7872,0.132495,145,57.666668,128,0,clean
2,0.001637,0.001637,0,16,595,21,8,10,1,7,817,2007,0.159442,43,43,611,0,buggy
2,0.004032,0.004032,0,3,791,12,6,21,24,7,1736,7872,0.132495,145,57.666668,248,0,clean
2,0.006173,0.006173,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,162,0,clean
2,0.016949,0.016949,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,59,0,clean
2,0.055556,0,0,2,67,3,3,21,24,2,10,23,0.130435,720,489,36,0,buggy
2,0.00813,0.00813,0,1,196,2,2,21,196,7,1736,7872,0.132495,145,57.666668,123,0,clean
4,0.004988,0.004988,0,3,65,5,3,2,3,3,15,22,0.409091,18,18,401,0,buggy
2,0.015152,0.015152,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,66,0,clean
4,0.005038,0.005038,1,7,467,9,6,21,273,1,21,40,0.45,30,21,397,32.939614,buggy
10,0.039063,0.039063,1,5,230,9,4,16,106,1,326,335,0.023881,669,669,128,0,buggy
17,0.015905,0.017893,3,1,0,1,1,10,0,7,817,2007,0.159442,43,43,503,0,buggy
0,0,0,0,1,0,1,1,12,0,2,4,49,0.020408,495,264,183,0,buggy
2,0.020408,0.020408,0,2,99,3,3,13,56,1,3,39,0.051282,811,580,49,0,buggy
2,0.026316,0.026316,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,38,0,clean
2,0.009901,0.009901,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,101,0,clean
2,0.003597,0.003597,0,0,33,2,2,21,33,7,1736,7872,0.132495,145,57.666668,278,0,clean
2,0.004902,0.004902,0,3,1,3,1,11,0,2,2,146,0.006849,1123,816,204,0,buggy
12,0.030641,0.002786,1,2,174,4,3,12,30,1,1,1,1,72,72,359,228.302087,clean
2,0.009804,0.009804,0,2,4,2,1,10,4,7,817,2007,0.159442,43,43,102,0,buggy
4,0.015504,0.015504,0,2,2,3,2,10,1,2,2,296,0.016892,221,172.5,129,0.127875,clean
2,0.005025,0.005025,0,4,496,7,3,17,176,5,227,243,0.341564,98,50.5,199,1,buggy
6,0,0.076923,0,0,0,1,1,11,0,4,49,63,0.666667,103,54,78,0,clean
2,0.005814,0.005814,0,2,75,4,2,10,1,7,817,2007,0.159442,43,43,172,0,buggy
2,0.030303,0,0,3,296,6,3,10,100,2,337,351,0.150997,103,55,66,0,buggy
6,0.004255,0.008511,1,2,1,2,1,10,1,2,2,296,0.003378,1122,815,470,0,buggy
2,0.013889,0.013889,0,1,0,1,1,13,0,3,16,17,0.588235,67,67,72,5.076816,buggy
0,0,0,0,1,0,1,1,11,0,4,57,302,0.056291,187,138.5,102,0,buggy
3,0,0.042857,0,0,0,1,1,17,0,4,226,1066,0.124765,42,42,70,0,clean
3,0.000441,0.00022,0,17,136,20,7,18,6,1,1,1,1,407,407,4537,31.292246,clean
2,0.002342,0.002342,0,8,60,9,1,17,24,4,10,6,1.166667,276,276,427,10.656149,buggy
2,0.00431,0,1,8,640,11,3,10,100,2,337,351,0.150997,103,55,464,0,buggy
2,0.043478,0.043478,0,0,168,2,2,21,168,7,1736,7872,0.132495,145,57.666668,23,0,clean
1,0.001626,0,0,3,141,5,3,9,42,2,3,3,0.666667,1045,814,615,0,clean
2,0.00813,0.00813,0,1,0,1,1,17,0,1,1,15,0.066667,451,451,123,66.29387,buggy
4,0.014925,0.014925,0,1,539,3,2,10,1,7,817,2007,0.159442,43,43,134,0,buggy
2,0.020833,0.020833,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,48,0,clean
0,0,0,0,1,0,1,1,16,0,5,44,400,0.015,44,44,22,0,buggy
2,0.020833,0.020833,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,48,0,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,41,-0,buggy
2,0.005181,0.005181,0,0,17,2,2,21,17,7,1736,7872,0.132495,145,57.666668,193,0,clean
1,0.003448,0,0,4,209,4,3,18,139,1,1,1,1,1,1,290,0,buggy
3,0.008264,0.016529,0,5,766,11,6,8,1,3,132,162,0.049383,157,108.5,121,558.296978,clean
2,0.007042,0.007042,0,0,182,2,2,21,182,7,1736,7872,0.132495,145,57.666668,142,0,clean
2,0.028571,0.028571,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,35,0,clean
14,0.039548,0.039548,0,6,2,6,2,21,0,2,2,143,0.006993,219,170.5,177,0,buggy
2,0.008696,0.008696,0,1,13,2,1,13,13,1,285,493,0.018256,65,65,115,0,clean
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,28,-0,buggy
